source,target,value
Limerick,A Young Lady of Lynn by Anonymous//171641
Romantic Love,The Highwayman by Alfred Noyes//171940
Romantic Love,The Owl and the Pussy-Cat by Edward Lear//171941
Romantic Love,Voyages by Hart Crane//172022
Romantic Love,When You Are Old by William Butler Yeats//172055
Romantic Love,Adam's Curse by William Butler Yeats//172057
Romantic Love,I Knew a Woman by Theodore Roethke//172104
Romantic Love,The Secret Garden by Rita Dove//172131
Romantic Love,Need by Babette Deutsch//172217
Romantic Love,The Lake by Daryl Hine//172233
Romantic Love,Dover Beach by Matthew Arnold//172844
Romantic Love,Epitaph for a Romantic Woman by Louise Bogan//172945
Romantic Love,To My Dear and Loving Husband by Anne Bradstreet//172962
Romantic Love,The Lady's Yes by Elizabeth Barrett Browning//172983
Romantic Love,Sonnets from the Portuguese  7: The face of all the world is changed, I think by Elizabeth Barrett Browning//172991
Romantic Love,Sonnets from the Portuguese 14: If thou must love me, let it be for nought by Elizabeth Barrett Browning//172992
Romantic Love,Sonnets from the Portuguese 20: Beloved, my Beloved, when I think by Elizabeth Barrett Browning//172993
Romantic Love,Sonnets from the Portuguese 22: When our two souls stand up erect and strong by Elizabeth Barrett Browning//172994
Romantic Love,Sonnets from the Portuguese 26: I lived with visions for my company by Elizabeth Barrett Browning//172995
Romantic Love,Sonnets from the Portuguese 28: My letters! all dead paper, ... mute and white ! by Elizabeth Barrett Browning//172996
Romantic Love,Sonnets from the Portuguese 43: How do I love thee? Let me count the ways by Elizabeth Barrett Browning//172998
Romantic Love,Love among the Ruins by Robert Browning//173019
Romantic Love,Meeting at Night by Robert Browning//173022
Romantic Love,Never the Time and the Place by Robert Browning//173026
Romantic Love,Two in the Campagna by Robert Browning//173034
Romantic Love,Ae Fond Kiss by Robert Burns//173054
Romantic Love,Afton Water by Robert Burns//173055
Romantic Love,Ca' the Yowes to the Knowes by Robert Burns//173056
Romantic Love,Mary Morison by Robert Burns//173067
Romantic Love,A Red, Red Rose by Robert Burns//173068
Romantic Love,Tam Glen by Robert Burns//173070
Romantic Love,Ye Flowery Banks (Bonie Doon) by Robert Burns//173074
Romantic Love,Epistle to Augusta by Lord Byron (George Gordon)//173092
Romantic Love,She Walks in Beauty by Lord Byron (George Gordon)//173100
Romantic Love,So We'll Go No More a Roving by Lord Byron (George Gordon)//173101
Romantic Love,Stanzas for Music by Lord Byron (George Gordon)//173102
Romantic Love,Follow Your Saint by Thomas Campion//173125
Romantic Love,Rose-Cheeked Laura by Thomas Campion//173126
Romantic Love,There Is A Garden In Her Face by Thomas Campion//173127
Romantic Love,A Song: When June is past, the fading rose by Thomas Carew//173136
Romantic Love,The Parlement of Fowls by Geoffrey Chaucer//173192
Romantic Love,I Hid my Love by John Clare//173205
Romantic Love,Summer by John Clare//173207
Romantic Love,Love by Samuel Taylor Coleridge//173249
Romantic Love,Something Childish, but Very Natural by Samuel Taylor Coleridge//173254
Romantic Love,Should the Wide World Roll Away by Stephen Crane//173306
Romantic Love,Wishes to his (Supposed) Mistress by Richard Crashaw//173317
Romantic Love,Wild nights - Wild nights! (269) by Emily Dickinson//173343
Romantic Love,Air and Angels by John Donne//173347
Romantic Love,The Dream by John Donne//173354
Romantic Love,The Ecstasy by John Donne//173355
Romantic Love,The Good-Morrow by John Donne//173360
Romantic Love,The Relic by John Donne//173380
Romantic Love,The Sun Rising by John Donne//173385
Romantic Love,from Troilus and Cressida by John Dryden//173441
Romantic Love,A Song from the Italian from Limberham: or, the Kind Keeper by John Dryden//173450
Romantic Love,Song to a Fair Young Lady Going out of Town in the Spring by John Dryden//173451
Romantic Love,Song (Wintah, summah, snow er shine) by Paul Laurence Dunbar//173466
Romantic Love,Jeanie with the Light Brown Hair by Stephen C. Foster//173519
Romantic Love,Birches by Robert Frost//173524
Romantic Love,Green Groweth the Holly by Henry VIII, King of England//173614
Romantic Love,Though that Men do Call it Dotage by Henry VIII, King of England//173618
Romantic Love,Love (II) by George Herbert//173631
Romantic Love,Love (III) by George Herbert//173632
Romantic Love,The Pearl by George Herbert//173634
Romantic Love,A Shropshire Lad 26: Along the field as we came by by A. E. Housman//173674
Romantic Love,The Glove and the Lions by Leigh Hunt//173699
Romantic Love,Rondeau by Leigh Hunt//173700
Romantic Love,A Celebration of Charis: I. His Excuse for Loving by Ben Jonson//173714
Romantic Love,A Celebration of Charis: IV. Her Triumph by Ben Jonson//173715
Romantic Love,from Endymion by John Keats//173734
Romantic Love,The Eve of St. Agnes by John Keats//173735
Romantic Love,Fancy by John Keats//173736
Romantic Love,La Belle Dame sans Merci: A Ballad by John Keats//173740
Romantic Love,Ode on a Grecian Urn by John Keats//173742
Romantic Love,Ode on Melancholy by John Keats//173743
Romantic Love,Ode to Psyche by John Keats//173745
Romantic Love,To One Who Has Been Long in City Pent by John Keats//173751
Romantic Love,When I have Fears That I May Cease to Be by John Keats//173753
Romantic Love,Soon, O Ianthe! Life is O'er by Walter Savage Landor//173833
Romantic Love,The Bride by D. H. Lawrence//173842
Romantic Love,Song to Amarantha, that she would Dishevel her Hair by Richard Lovelace//173922
Romantic Love,To Althea, from Prison by Richard Lovelace//173923
Romantic Love,To Lucasta, Going to the Wars by Richard Lovelace//173924
Romantic Love,Hero and Leander by Christopher Marlowe//173940
Romantic Love,The Passionate Shepherd to His Love by Christopher Marlowe//173941
Romantic Love,The Definition of Love by Andrew Marvell//173945
Romantic Love,The Mower to the Glow-Worms by Andrew Marvell//173951
Romantic Love,To His Coy Mistress by Andrew Marvell//173954
Romantic Love,Romance by Claude McKay//173962
Romantic Love,Love in the Valley by George Meredith//173966
Romantic Love,Four Sonnets (1922) by Edna St. Vincent Millay//173988
Romantic Love,Town Eclogues: Wednesday; The Tete a Tete by Lady Mary Wortley Montagu//174030
Romantic Love,A Ballad: The Lake of the Dismal Swamp by Thomas Moore//174046
Romantic Love,from Lalla Rookh by Thomas Moore//174047
Romantic Love,Song in a Minor Key by Dorothy Parker//174103
Romantic Love,Adam and Eve by Marjorie Pickthall//174131
Romantic Love,Song by Marjorie Pickthall//174139
Romantic Love,Annabel Lee by Edgar Allan Poe//174151
Romantic Love,For Annie by Edgar Allan Poe//174153
Romantic Love,To Helen by Edgar Allan Poe//174154
Romantic Love,Eloisa to Abelard by Alexander Pope//174158
Romantic Love,Envoi by Ezra Pound//174180
Romantic Love,As You Came from the Holy Land (attributed) by Sir Walter Ralegh//174204
Romantic Love,A Birthday by Christina Rossetti//174258
Romantic Love,De Profundis by Christina Rossetti//174260
Romantic Love,The House of Life: 22. Heart's Haven by Dante Gabriel Rossetti//174276
Romantic Love,The House of Life: 41. Through Death to Love by Dante Gabriel Rossetti//174278
Romantic Love,Insomnia by Dante Gabriel Rossetti//174284
Romantic Love,Love-Lily by Dante Gabriel Rossetti//174285
Romantic Love,Love's Nocturn by Dante Gabriel Rossetti//174286
Romantic Love,The Portrait by Dante Gabriel Rossetti//174289
Romantic Love,The Stream's Secret by Dante Gabriel Rossetti//174291
Romantic Love,Sudden Light by Dante Gabriel Rossetti//174292
Romantic Love,Sonnet  15: When I consider everything that grows by William Shakespeare//174353
Romantic Love,Sonnet  19: Devouring Time, blunt thou the lion's paws by William Shakespeare//174355
Romantic Love,Sonnet  25: Let those who are in favour with their stars by William Shakespeare//174356
Romantic Love,Sonnet  30: When to the sessions of sweet silent thought by William Shakespeare//174358
Romantic Love,Sonnet  32: If thou survive my well-contented day by William Shakespeare//174359
Romantic Love,Sonnet  53: What is your substance, whereof are you made by William Shakespeare//174361
Romantic Love,Sonnet  71: No longer mourn for me when I am dead by William Shakespeare//174365
Romantic Love,Sonnet 116: Let me not to the marriage of true minds by William Shakespeare//174373
Romantic Love,Sonnet 130: My mistress' eyes are nothing like the sun by William Shakespeare//174375
Romantic Love,The Indian Serenade by Percy Bysshe Shelley//174391
Romantic Love,Lines Written in the Bay of Lerici by Percy Bysshe Shelley//174395
Romantic Love,Music when Soft Voices Die (To --) by Percy Bysshe Shelley//174399
Romantic Love,To ---- by Percy Bysshe Shelley//174412
Romantic Love,Astrophil and Stella 3: Let dainty wits cry on the sisters nine by Sir Philip Sidney//174420
Romantic Love,Astrophil and Stella 7: When Nature made her chief work, Stella's eyes by Sir Philip Sidney//174421
Romantic Love,Amoretti III: The Sovereign Beauty by Edmund Spenser//174451
Romantic Love,Amoretti LXXIV: Most Happy Letters by Edmund Spenser//174455
Romantic Love,Amoretti LXXV: One Day I Wrote her Name by Edmund Spenser//174456
Romantic Love,A Swimmer's Dream by Algernon Charles Swinburne//174572
Romantic Love,In Memoriam A. H. H. OBIIT MDCCCXXXIII: 27 by Alfred, Lord Tennyson//174603
Romantic Love,In Memoriam A. H. H. OBIIT MDCCCXXXIII: 126 by Alfred, Lord Tennyson//174623
Romantic Love,from Maud (Part I) by Alfred, Lord Tennyson//174634
Romantic Love,from The Princess: Come down, O Maid by Alfred, Lord Tennyson//174645
Romantic Love,from The Princess: Now Sleeps the Crimson Petal by Alfred, Lord Tennyson//174647
Romantic Love,from The Princess: O Swallow by Alfred, Lord Tennyson//174648
Romantic Love,On a Girdle by Edmund Waller//174705
Romantic Love,Song by Edmund Waller//174709
Romantic Love,To His Mistress by John Wilmot, Earl of Rochester//174776
Romantic Love,They Flee From Me by Sir Thomas Wyatt//174858
Romantic Love,Whoso List to Hunt, I Know where is an Hind by Sir Thomas Wyatt//174862
Romantic Love,The Gardener 38 by Rabindranath Tagore//174934
Romantic Love,To Rosemounde: A Balade by Geoffrey Chaucer//174963
Romantic Love,Valentine by Elinor Wylie//175339
Romantic Love,Reserve by Louise Imogen Guiney//175358
Romantic Love,Discourse on Pure Virtue by George Elliott Clarke//175469
Romantic Love,Song by Robert Browning//175585
Romantic Love,The Snow Is Deep on the Ground by Kenneth Patchen//175610
Romantic Love,'Be Music, Night' by Kenneth Patchen//175616
Romantic Love,O Best of All Nights, Return and Return Again by James Laughlin//175666
Romantic Love,Sonnet  55: Not marble nor the gilded monuments by William Shakespeare//175752
Romantic Love,To - by Sarah Helen Whitman//175767
Romantic Love,Song by Sophie Jewett//176139
Romantic Love,Defeated by Sophie Jewett//176141
Romantic Love,The Safecracker by Linda Pastan//176208
Romantic Love,Ex Machina by Linda Gregerson//176286
Romantic Love,Tiare Tahiti by Rupert Brooke//176644
Romantic Love,Beautiful Dreamer Serenade by Stephen C. Foster//176672
Romantic Love,The Night Piece, to Julia by Robert Herrick//176770
Romantic Love,To Anthea, who may Command him Anything by Robert Herrick//176772
Romantic Love,Gloire de Dijon by D. H. Lawrence//176791
Romantic Love,Colors passing through us by Marge Piercy//176836
Romantic Love,The Smile by William Blake//176906
Romantic Love,Meditation at Lagunitas by Robert Hass//177014
Romantic Love,Wild Peaches by Elinor Wylie//177602
Romantic Love,A Dialogue between Thyrsis and Dorinda by Andrew Marvell//177939
Romantic Love,Clorinda and Damon by Andrew Marvell//177940
Romantic Love,The Gallery by Andrew Marvell//177943
Romantic Love,A Pot of Red Lentils by Peter Pereira//177952
Romantic Love,To One Unknown by Helen Dudley//1784
Romantic Love,In the Grand Manner by Richard Emil Braun//178495
Romantic Love,Under Stars by Tess Gallagher//178715
Romantic Love,Green Tea by Dale Ritterbusch//178771
Romantic Love,Katie by Henry Timrod//178786
Romantic Love,La Belle Juive by Henry Timrod//178787
Romantic Love,Magnificat in Little by Leonie Adams//178828
Romantic Love,The Hearts by Robert Pinsky//178979
Romantic Love,A Token by Robert Creeley//178986
Romantic Love,To a Greek Marble by Richard Aldington//1791
Romantic Love,Field Guide by Cynthia Zarin//179142
Romantic Love,The Hush of the Very Good by Todd Boss//179162
Romantic Love,Formerly Communist Love Sonnet by Connie Deanovich//179215
Romantic Love,The River at Wolf by Jean Valentine//179223
Romantic Love,Sublimation Point by Jason Schneiderman//179233
Romantic Love,Valentine by Tom Pickard//179234
Romantic Love,White Rose by Tom Pickard//179235
Romantic Love,Acts of Love by Pam Rehm//179236
Romantic Love,The Greatest Love by Anna Swir//179237
Romantic Love,Poem for My Love by June Jordan//179238
Romantic Love,Finale by Pablo Neruda//179239
Romantic Love,Cave Dwellers by A. Poulin Jr.//179246
Romantic Love,Study/Trees by Leonard Gontarek//179247
Romantic Love,Dark Harvest by Joseph Millar//179250
Romantic Love,Love Pirates by Joseph Millar//179251
Romantic Love,One Hundred Love Sonnets: XVII by Pablo Neruda//179257
Romantic Love,The Quiet World by Jeffrey McDaniel//179259
Romantic Love,After a God by Jenny Browne//179267
Romantic Love,You, Therefore by Reginald Shepherd//179292
Romantic Love,Chance Meeting by Susan Browne//179303
Romantic Love,Power in Silence by Michael Field//179309
Romantic Love,Slow Dancing on the Highway:the Trip North by Elizabeth Hobbs//179631
Romantic Love,[Yesterday, the sunshine made the air glow] by Jimmy Santiago Baca//179716
Romantic Love,Under Two Windows by Schuyler Van Rensselaer//1798
Romantic Love,Briefly It Enters, and Briefly Speaks by Jane Kenyon//179958
Romantic Love,Amoretti I:  Happy ye leaves when as those lilly hands by Edmund Spenser//180345
Romantic Love,Amoretti VIII: More then most faire, full of the living fire by Edmund Spenser//180371
Romantic Love,Amoretti XV: Ye tradefull Merchants that with weary toyle by Edmund Spenser//180372
Romantic Love,Amoretti LXX: Fresh spring the herald of loves mighty king by Edmund Spenser//180375
Romantic Love,Amoretti LXXXI: Fayre is my love, when her fayre golden heares by Edmund Spenser//180381
Romantic Love,Amoretti LXXXIX: Lyke as the Culver on the barA"d bough by Edmund Spenser//180382
Romantic Love,Caelica 4: You little stars that live in skies by Baron Brooke Fulke Greville//180383
Romantic Love,What Length of Verse? by Sir Philip Sidney//180390
Romantic Love,Astrophil and Stella 90: Stella, think not that I by verse seek fame by Sir Philip Sidney//180408
Romantic Love,Seventh Song by Sir Philip Sidney//180412
Romantic Love,To Jane: The Invitation by Percy Bysshe Shelley//180603
Romantic Love,Stanzas ["Oh, come to me in dreams, my love!"] by Mary Wollstonecraft Shelley//180604
Romantic Love,First Love by John Clare//180606
Romantic Love,To - by John Keats//180608
Romantic Love,The Miller's Daughter by Alfred, Lord Tennyson//180610
Romantic Love,Amoretti XXX: My Love is like to ice, and I to fire by Edmund Spenser//180614
Romantic Love,To a Lady that Desired I Would Love Her by Thomas Carew//180622
Romantic Love,The House of Life 53: Without Her by Dante Gabriel Rossetti//180627
Romantic Love,from Maud (Part XVIII): I have led her Home, my love, my only friend by Alfred, Lord Tennyson//180629
Romantic Love,A Letter to her Husband, absent upon Publick employment by Anne Bradstreet//180631
Romantic Love,Echo by Christina Rossetti//180632
Romantic Love,To Asra by Samuel Taylor Coleridge//180638
Romantic Love,Love's Growth by John Donne//180639
Romantic Love,Wedding Hymn by Sidney Lanier//180640
Romantic Love,Bridal Song by George Chapman//180641
Romantic Love,Marriage Morning by Alfred, Lord Tennyson//180642
Romantic Love,The Real and True and Sure by Robert Browning//180643
Romantic Love,Sonnet 109: O! never say that I was false of heart by William Shakespeare//180644
Romantic Love,A Modest Love by Sir Edward Dyer//180645
Romantic Love,from Merlin and Vivien by Alfred, Lord Tennyson//180646
Romantic Love,Love by Elizabeth Barrett Browning//180650
Romantic Love,Invitation to Love by Paul Laurence Dunbar//180660
Romantic Love,Love Lives Beyond the Tomb by John Clare//180662
Romantic Love,The Wine of Love by James Thomson (B.V.)//180663
Romantic Love,from Hero and Leander: "It lies not in our power to love or hate" by Christopher Marlowe//180664
Romantic Love,Cherry-Ripe by Thomas Campion//180667
Romantic Love,from Rubaiyat: "A Book of Verses underneath the Bough" by Omar Khayaam//180668
Romantic Love,"I cry your mercy-pity-love! -aye, love!" by John Keats//180669
Romantic Love,A Ring Presented to Julia by Robert Herrick//180671
Romantic Love,Romance by Robert Louis Stevenson//180672
Romantic Love,The Oblation by Algernon Charles Swinburne//180673
Romantic Love,Ruth by Thomas Hood//180674
Romantic Love,Meet Me in the Green Glen by John Clare//180675
Romantic Love,I Love You by Ella Wheeler Wilcox//180677
Romantic Love,The Anniversary by John Donne//180679
Romantic Love,One Girl by Sappho//180686
Romantic Love,Her Face by Arthur Gorges//180687
Romantic Love,A Face by Robert Browning//180698
Romantic Love,Sestina of the Lady Pietra degli Scrovigni by Dante Alighieri//180701
Romantic Love,Love's Good-Morrow by Thomas Heywood//180713
Romantic Love,At the Wedding March by Gerard Manley Hopkins//180715
Romantic Love,"The day is gone, and all its sweets are gone!" by John Keats//180718
Romantic Love,Astrophil and Stella 101: Stella is sick, and in that sick-bed lies by Sir Philip Sidney//180763
Romantic Love,Delia 1: Unto the boundless Ocean of thy beauty by Samuel Daniel//180766
Romantic Love,Amoretti LXII:  "The weary yeare his race now having run" by Edmund Spenser//180776
Romantic Love,Amoretti LXVI:  "To all those happy blessings which ye have" by Edmund Spenser//180777
Romantic Love,Aubade by Dafydd ap Gwilym//180786
Romantic Love,A Thousand Martyrs by Aphra Behn//180798
Romantic Love,O Tan-Faced Prairie-Boy by Walt Whitman//180826
Romantic Love,A Glimpse by Walt Whitman//180827
Romantic Love,White Heliotrope by Arthur Symons//180846
Romantic Love,"I wish I could remember that first day" by Christina Rossetti//180851
Romantic Love,Sonnet  98: From you have I been absent in the spring by William Shakespeare//180854
Romantic Love,Somewhere or Other by Christina Rossetti//180855
Romantic Love,"I loved you first: but afterwards your love" by Christina Rossetti//180859
Romantic Love,"Many in aftertimes will say of you" by Christina Rossetti//180860
Romantic Love,When I Heard at the Close of the Day by Walt Whitman//180861
Romantic Love,Love and Sleep by Algernon Charles Swinburne//180862
Romantic Love,In the Orchard by Algernon Charles Swinburne//180868
Romantic Love,A Song: Ask me no more where Jove bestows by Thomas Carew//180869
Romantic Love,Love's Witness by Aphra Behn//180877
Romantic Love,Song by Aphra Behn//180879
Romantic Love,Oh, How the Hand the Lover Ought to Prize by Aphra Behn//180880
Romantic Love,Sonnets from the Portuguese 44:  Beloved, thou has brought me many flowers by Elizabeth Barrett Browning//180890
Romantic Love,Sonnets from the Portuguese  5: I lift my heavy heart up solemnly by Elizabeth Barrett Browning//180891
Romantic Love,A Moment by Mary Elizabeth Coleridge//180898
Romantic Love,Douglas, Douglas, Tender and True by Dinah Maria Craik//180900
Romantic Love,Love Song by Mary Carolyn Davies//180901
Romantic Love,Gifts by Juliana Horatia Ewing//180910
Romantic Love,A Song by Anne Finch, Countess of Winchilsea//180912
Romantic Love,A Letter to Daphnis by Anne Finch, Countess of Winchilsea//180913
Romantic Love,Friendship between Ephelia and Ardelia by Anne Finch, Countess of Winchilsea//180926
Romantic Love,Separation by W. S. Merwin//18094
Romantic Love,Sonnets from the Portuguese 38: First time he kissed me, he but only kissed by Elizabeth Barrett Browning//180965
Romantic Love,A Roundelay between Two Shepherds by Michael Drayton//180998
Romantic Love,Sonnet  65: Since brass, nor stone, nor earth, nor boundless sea by William Shakespeare//181003
Romantic Love,Sonnet  76: Why is my verse so barren of new pride by William Shakespeare//181004
Romantic Love,My Sweetest Lesbia by Thomas Campion//181013
Romantic Love,I Care Not for These Ladies by Thomas Campion//181014
Romantic Love,When to Her Lute Corinna Sings by Thomas Campion//181015
Romantic Love,Now Winter Nights Enlarge by Thomas Campion//181016
Romantic Love,A Sonnet to the Noble Lady, the Lady Mary Wroth by Ben Jonson//181037
Romantic Love,Because of this Modest Style by Ramon Lopez Velarde//181334
Romantic Love,A Lock of Her Hair by Robert Wrigley//181709
Romantic Love,Song That Can Only Be Sung Once by Tom Sleigh//181710
Romantic Love,Fountains in the sea by Marin Sorescu//182033
Romantic Love,Stubbornly by Sarah Lindsay//182248
Romantic Love,[go on sister sing your song] by Harryette Mullen//182304
Romantic Love,Lines Depicting Simple Happiness by Peter Gizzi//182376
Romantic Love,A Song by Helen Maria Williams//182494
Romantic Love,Valentine To RR Written Extempore Feb. 14 1802 by Charlotte Richardson//182533
Romantic Love,Love Letters by Josephine Delphine Henderson Heard//182756
Romantic Love,Serenade by Mary Weston Fordham//182761
Romantic Love,Fate by Carolyn Wells//182768
Romantic Love,Winged Purposes by Dean Young//182827
Romantic Love,Bird-Understander by Craig Arnold//182920
Romantic Love,Ode to his Wife (Written in Patna, 1784) by Warren Hastings//183887
Romantic Love,Lochinvar by Sir Walter Scott//183947
Romantic Love,The Eolian Harp by Samuel Taylor Coleridge//183957
Romantic Love,What to Eat, What to Drink, and What to Leave for Poison by Camille T. Dungy//185817
Romantic Love,(''My soul is alight...'') by Rabindranath Tagore//1890
Romantic Love,(''Come as you are...'') by Rabindranath Tagore//1893
Romantic Love,(''Tell me if this is all true...'') by Rabindranath Tagore//1897
Romantic Love,(''With a glance of your eyes...'') by Rabindranath Tagore//1899
Romantic Love,(''I found a few old letters...'') by Rabindranath Tagore//1901
Romantic Love,The Artist by Amy Lowell//191671
Romantic Love,To a Husband by Amy Lowell//192180
Romantic Love,A Lover by Amy Lowell//192181
Romantic Love,Celebration for June 24 by Thomas McGrath//199167
Romantic Love,Listening by David Ignatow//212356
Romantic Love,Days of '74 by Mark Jarman//212749
Romantic Love,Retrospect by Rupert Brooke//2157
Romantic Love,In Time by W. S. Merwin//216433
Romantic Love,Chamber Thicket by Sharon Olds//216988
Romantic Love,What Became by Wesley McNair//217004
Romantic Love,Song of the Sea to the Shore by Robert Fanning//217273
Romantic Love,A Posy of Love Poems by William Walden//217693
Romantic Love,Country Love Song by Melanie Almeder//217846
Romantic Love,Song (''Love has crept...'') by D. H. Lawrence//2206
Romantic Love,Venus Transiens by Amy Lowell//2286
Romantic Love,from Deaf Republic: 9 by Ilya Kaminsky//236704
Romantic Love,Love Song for Alex, 1979 by Margaret Walker//237166
Romantic Love,Alpine Wedding by Ralph Angel//237354
Romantic Love,After the Winter by Claude McKay//237358
Romantic Love,Snowflake by William Baer//237372
Romantic Love,Paris and Helen by Judy Grahn//237428
Romantic Love,[Record no oiled tongue, diary] by Dan Beachy-Quick//237530
Romantic Love,[morning green through ivy] by Dan Beachy-Quick//237534
Romantic Love,Being in Love by Chungmi Kim//237584
Romantic Love,Allow Me by Chungmi Kim//237586
Romantic Love,To You by Kenneth Koch//237632
Romantic Love,[as freedom is a breakfastfood] by E. E. Cummings//237676
Romantic Love,At a Solemn Musick by Delmore Schwartz//238110
Romantic Love,I Am Offering this Poem by Jimmy Santiago Baca//238134
Romantic Love,Love Poem by Duane Niatum//238322
Romantic Love,I am in love, hence free to live by Vera Pavlova//238382
Romantic Love,Bleak Weather by Ella Wheeler Wilcox//238442
Romantic Love,The Snow Fairy by Claude McKay//238444
Romantic Love,A Girl by Michael Field//238562
Romantic Love,Alone for a Week by Jane Kenyon//238646
Romantic Love,Remembering by P. K. Page//238728
Romantic Love,I have to tell you by Dorothea Grossman//238790
Romantic Love,The Two Times I Loved You the Most In a Car by Dorothea Grossman//238794
Romantic Love,A Blessing for Wedding by Jane Hirshfield//238894
Romantic Love,Love Song by Henry Dumas//239064
Romantic Love,['Joy of my life, full oft for loving you'] by Edmund Spenser//239636
Romantic Love,Early Affection by George Moses Horton//239702
Romantic Love,Thou Art My Lute by Paul Laurence Dunbar//239704
Romantic Love,Sonnet by Alice Moore Dunbar-Nelson//239826
Romantic Love,Love Poem by Dora Malech//240528
Romantic Love,Love Song by William Carlos Williams//241066
Romantic Love,Chewing slowly by Kabir//241230
Romantic Love,House of Cedar, Rafters of Fir by Paul Hoover//241242
Romantic Love,The Amaranth by Matthew Rohrer//241324
Romantic Love,Airs and Angels: This Night Only by Kenneth Rexroth//241368
Romantic Love,Still Life by Roberto Tejada//241434
Romantic Love,Winter by Timothy Liu//241494
Romantic Love,The Whip by Robert Creeley//241510
Romantic Love,The Tunnel by Robert Creeley//241512
Romantic Love,The Rain by Robert Creeley//241515
Romantic Love,Peanut Butter by Eileen Myles//241746
Romantic Love,Romantics by Lisel Mueller//241794
Romantic Love,Food of Love by Carolyn Kizer//241958
Romantic Love,Afternoon Happiness by Carolyn Kizer//241960
Romantic Love,The Unquarried Blue of Those Depths Is All But Blinding by Ashley Anna McHugh//241964
Romantic Love,An Offering for Patricia by Anthony Hecht//242506
Romantic Love,The Fountain by Charles Baudelaire//242508
Romantic Love,Dilemma by Anthony Hecht//242510
Romantic Love,Epithalamion by Robert Fernandez//242608
Romantic Love,An Exercise in Love by Diane di Prima//242646
Romantic Love,The End of Landscape by Randall Mann//242772
Romantic Love,In Muted Tone by Paul Verlaine//242784
Romantic Love,If by John Rybicki//242856
Romantic Love,Town of Unspeakable Things by Allison Seay//242888
Romantic Love,Song for Connie by Bill Berkson//242976
Romantic Love,To the Angelbeast by Eduardo C. Corral//243158
Romantic Love,To Robert Hayden by Eduardo C. Corral//243160
Romantic Love,In Love, His Grammar Grew by Stephen Dunn//243186
Romantic Love,Fin de Fete by Charlotte Mew//243432
Romantic Love,Alteration Finds by Geoffrey Brock//243590
Romantic Love,In the Bakery by Darcie Dennigan//243694
Romantic Love,Carnival by Rebecca Lindenberg//243890
Romantic Love,Marblehead by Rebecca Lindenberg//243898
Romantic Love,Self Portrait as a Meadow by Linda Norton//243984
Romantic Love,The Fetch by CiarA!n Carson//244056
Romantic Love,I Love You More Than All the Windows in New York City by Jessica Greenbaum//244188
Romantic Love,Aphrodisia by Richard Hoffman//244324
Romantic Love,The American on His First Honeymoon by Rita Mae Reese//244514
Romantic Love,The Stags by Kathleen Jamie//244602
Romantic Love,The Persians by Rumi by Brandon Brown//244680
Romantic Love,Flirtation by Rita Dove//24488
Romantic Love,Waiting for This Story to End Before I Begin Another by Jan Heller Levi//245058
Romantic Love,Beaded Baby Moccasins by Joanne Dominique Dwyer//245406
Romantic Love,Devotions by Bruce Snider//245408
Romantic Love,Flowers from a New Love after the Divorce by Paisley Rekdal//245908
Allusion,The Statesmen by Ambrose Bierce//172899
Allusion,The Day of Wrath / Dies Irae by Ambrose Bierce//172900
Allusion,Mnemosyne by Trumbull Stickney//174507
Allusion,Exile by George Elliott Clarke//175468
Allusion,Discourse on Pure Virtue by George Elliott Clarke//175469
Allusion,To You by Kevin A. Gonzalez//175806
Allusion,The Animals by Josephine Jacobsen//176962
Allusion,The Red Cadillac by Reginald O'Hare Gibson//178425
Allusion,The Duffel Bag by David Harsent//182117
Allusion,Zeus to Juno by Fiona Sampson//182389
Allusion,Call Me Pier by Susan Firer//185717
Allusion,The Voyage Home by Philip Appleman//210481
Allusion,The Death of Antinous by Mark Doty//213479
Allusion,Wight by Stanley Plumly//216266
Allusion,Platonic Love by Curt Anderson//216480
Allusion,Lullabye for the Second Millennium by J. Allyn Rosser//216795
Allusion,Li Hua's Messenger by Peter Bethanis//216858
Allusion,Translation by Deirdre O'Connor//217005
Allusion,Market Forecast by Alexa Selph//217049
Allusion,Update on the Last Judgment by Ellen Hinsey//217314
Allusion,Kindness by Yusef Komunyakaa//217509
Allusion,Little Blessing for My Floater by Jeanne Murray Walker//217731
Allusion,Staying Power by Jeanne Murray Walker//217892
Allusion,Kind of Blue by Lynn Powell//217906
Allusion,Magnificat by Eleanor Wilner//217952
Allusion,Reading Saint John of the Cross by Susan Kelly-DeWitt//238632
Allusion,The Voyage Home by Philip Appleman//23986
Water,Carmel Highlands by Janet Loxley Lewis//11099
Water,Encounter by Thomas McGrath//13623
Water,In the Cold Country by Barbara Howes//14352
Water,Cock by Albert Goldbarth//146682
Water,Undone Song at Neap Tide by Kathryn Starbuck//146696
Water,Alone, Drinking With the Tickfaw River by Alison Pelegrin//146723
Water,Luciferin by Dean Young//146762
Water,Fog Horns by David Mason//146832
Water,In Love with You by Kenneth Koch//15850
Water,On Looking East to the Sea with a Sunset Behind Me by John Ciardi//15868
Water,The Painter by John Ashbery//16013
Water,A Swimmer in the Air by Howard Moss//16327
Water,Tritina for Susannah by David Yezzi//171056
Water,Mother Carey's Hen by David Yezzi//171057
Water,On Munsungun by Ethan Stebbins//171067
Water,Letter Written on a Ferry While Crossing Long Island Sound by Anne Sexton//171270
Water,The Truth the Dead Know by Anne Sexton//171272
